evaluation_index,tag,global_iteration,stage_iteration,role,beta,constraint_contract,objective_A,objective_A_per_W,relative_fom_change,rho_mean,rho_rms_change,rho_max_change,gray_fraction_0p01_0p99,binarization_metric,solid_constraint,void_constraint,solid_constraint_cap,void_constraint_cap,constraints_feasible,solid_bad_cells,void_bad_cells,optical_closure,thermal_residual,thermal_energy_balance
0,run005_b002_s000_g000_stage_baseline,0,0,stage_baseline,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.351217541491766e-20,9.775174754356877e-08,0.0,0.5000000006153631,0.0,0.0,1.0,0.9712101531063608,0.0011921756743704381,2.563430041770502e-05,0.00126,5e-05,True,158,0,5.590359586552355e-06,9.419826543497526e-11,8.896723848470695e-14
1,run005_b002_s001_g001_accepted_mma,1,1,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.6144705082419204e-20,1.16796377113317e-07,0.19482648697671495,0.4987757247313147,0.012451671721954643,0.013129915194036668,1.0,0.9654532987270907,0.0009047577467959235,3.816872716968365e-05,0.00126,5e-05,True,44,2,4.738348501882557e-06,9.743548095807459e-11,1.2477983826547503e-12
2,run005_b002_s002_g002_accepted_mma,2,2,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.879759929093706e-20,1.3598833081194455e-07,0.16431976892577183,0.4974282754024498,0.012399629867873163,0.01312991519342438,1.0,0.9586027615208103,0.000737143737328181,4.482910851608346e-05,0.001,4.5e-05,True,43,2,3.754405079298038e-06,7.392033800014371e-11,1.835517539778706e-12
3,run005_b002_s003_g003_accepted_mma,3,3,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,2.147013518825635e-20,1.5532237927666927e-07,0.1421743200264836,0.49595715001240914,0.012339964999824229,0.013129915194066366,1.0,0.950675747184769,0.0006430948671158867,5.244079806215419e-05,0.00082,5.3e-05,True,40,6,2.607062471727781e-06,8.572947416035436e-11,6.729759371075335e-13
4,run005_b002_s004_g004_accepted_mma,4,4,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,2.4161125032301834e-20,1.7478992997076635e-07,0.1253364182596015,0.4943815958531733,0.01227293025427984,0.013129915191019248,1.0,0.9416842021546772,0.0005673841429073937,6.396461555660398e-05,0.001,0.0001,True,41,1,1.208460212495052e-06,9.020103902823054e-11,9.057355630944297e-13
5,run005_b002_s005_g005_accepted_mma,5,5,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,2.686903136756038e-20,1.9437986040961988e-07,0.11207699689638842,0.4927078532921414,0.012198622236452057,0.013129915185220498,1.0,0.9316564386505147,0.0005082822392822254,8.089553575550591e-05,0.001,0.0001,True,42,6,3.0412977136038666e-07,9.50991181672985e-11,1.1038960720661167e-12
6,run005_b002_s006_g006_accepted_mma,6,6,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,2.8228796460834975e-20,2.0421687110810373e-07,0.05060714972093382,0.4918275853795422,0.006068881247050907,0.006565121718080713,1.0,0.9262703281368068,0.00048559344029989993,9.138995982412524e-05,0.001,0.0001,True,47,5,1.1375552646475644e-06,9.600499855450997e-11,1.2036847066470704e-12
7,run005_b002_s007_g007_accepted_mma,7,7,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,2.959206252950269e-20,2.1407920907272168e-07,0.048293453479645386,0.49092756245508046,0.006046768909073449,0.006565121717570899,1.0,0.9206365244653899,0.0004677681717026749,9.971852083392473e-05,0.001,0.0001,True,45,5,2.0268244500104073e-06,9.758270786891599e-11,1.3017297413047018e-12
8,run005_b002_s008_g008_accepted_mma,8,8,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,3.027494376753316e-20,2.1901940799202363e-07,0.023076500238861538,0.49046694093129245,0.0030154761612084776,0.0032825813749523536,1.0,0.9177292832327897,0.00045993732546010754,0.00010655298847513445,0.00055,0.000111,True,43,2,2.4518735049764827e-06,9.955178919752367e-11,1.3550969127316507e-12
9,run005_b002_s009_g009_accepted_mma,9,9,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,3.0958601770276996e-20,2.23965226295757e-07,0.022581644015371827,0.4900030840364059,0.003009183805189497,0.003282581375029514,1.0,0.914760894662766,0.00045274930727552784,0.0001114861694286061,0.00055,0.000111,True,44,8,2.9593154733780146e-06,7.857071703053358e-11,6.25835558092656e-13
